id;Word;Frequency;Reading;English;Heisig_numbers;Heisig_chapter;kana_tier;kind
1325;ランキング;51.81;ランキング;Ranking;[];0;3;loanword
1326;といった;51.73;といった;such as;[];0;3;vocab
1327;かかわる;51.71;かかわる;involved;[];0;3;vocab
1328;さすが;51.53;さすが;As expected;[];0;3;vocab
1329;許す;51.53;ゆるす;forgive;[611];21;;vocab
1330;空;51.52;そら;sky;[1414];35;;vocab
1331;関わる;51.4;かかわる;get involved;[2173];55;;vocab
1332;起こす;51.4;おこす;wake up;[565];21;;vocab
1333;仲間;51.39;なかま;company;[1029, 1747];42;;vocab
1334;メッセージ;51.38;メッセージ;message;[];0;3;loanword
1335;迎える;51.32;むかえる;welcome;[1837];44;;vocab
1336;整理;51.25;せいり;sorting;[1800, 283];43;;vocab
1337;協会;51.23;きょうかい;association;[937, 814];25;;vocab
1338;モノ;51.19;モノ;mono;[];0;3;loanword
1339;官;51.16;かん;Government;[1363];34;;vocab
1340;至る;51.15;いたる;arrive;[815];23;;vocab
1341;ロシア;51.07;ロシア;Russia;[];0;3;loanword
1342;多数;51.07;たすう;great number;[113, 998];26;;vocab
1343;デジタル;50.99;デジタル;digital;[];0;3;loanword
1344;耳;50.95;みみ;ear;[881];25;;vocab
1345;積極;50.94;せっきょく;positive;[1663, 2052];51;;vocab
1346;かつ;50.89;かつ;and;[];0;3;vocab
1347;願う;50.89;ねがう;I hope;[143];8;;vocab
1348;安心;50.83;あんしん;relief;[202, 639];22;;vocab
1349;ダメ;50.76;ダメ;No;[];0;3;loanword
1350;独立;50.75;どくりつ;independence;[561, 462];21;;vocab
1351;イン;50.75;イン;in;[];0;3;loanword
1352;読者;50.72;どくしゃ;reader;[372, 1345];34;;vocab
1353;勝つ;50.7;かつ;win;[1294];32;;vocab
1354;ぶり;50.67;ぶり;Yellowtail;[];0;3;vocab
1355;雇用;50.65;こよう;employment;[1164, 1265];31;;vocab
1356;なに;50.56;なに;what;[];0;1;vocab
1357;傾向;50.47;けいこう;tendency;[1086, 195];27;;vocab
1358;そもそも;50.34;そもそも;in the first place;[];0;3;vocab
1359;打つ;50.29;うつ;strike;[705];23;;vocab
1360;賞;50.26;しょう;award;[859];25;;vocab
1361;誕生;50.23;たんじょう;birth;[420, 1675];40;;vocab
1362;ぼく;50.21;ぼく;I;[];0;2;vocab
1363;遅い;50.19;おそい;slow;[1148];29;;vocab
1364;流れる;50.18;ながれる;flowing;[826];23;;vocab
1365;撮る;50.16;とる;take a picture;[885];25;;vocab
1366;いらっしゃる;50.08;いらっしゃる;Come;[];0;3;vocab
1367;まいる;50.02;まいる;Mile;[];0;3;vocab
1368;バー;50.02;バー;bar;[];0;3;loanword
1369;都;50.0;と;capital;[1989];49;;vocab
1370;全員;50.0;ぜんいん;all members;[281, 59];12;;vocab
1371;コンピュータ;49.97;コンピュータ;computer;[];0;3;loanword
1372;皆;49.94;みな;all;[484];18;;vocab
1373;参照;49.82;さんしょう;reference;[1856, 182];45;;vocab
1374;少なくとも;49.71;すくなくとも;at least;[111];7;;vocab
1375;地元;49.68;じもと;home area;[554, 63];21;;vocab
1376;壁;49.67;かべ;wall;[1616];39;;vocab
1377;是非;49.65;ぜひ;certainly;[414, 1760];42;;vocab
1378;明確;49.6;めいかく;clear;[20, 609];21;;vocab
1379;つながる;49.59;つながる;Connect;[];0;3;vocab
1380;つて;49.57;つて;Connections;[];0;3;vocab
1381;士;49.54;し;Scholar;[341];14;;vocab
1382;特徴;49.52;とくちょう;feature;[261, 952];25;;vocab
1383;セット;49.51;セット;set;[];0;3;loanword
1384;たつ;49.42;たつ;Tatsu;[];0;3;vocab
1385;皆様;49.42;みなさま;everyone;[484, 1003];26;;vocab
1386;カメラ;49.42;カメラ;camera;[];0;3;loanword
1387;どうしても;49.36;どうしても;no matter what;[];0;2;vocab
1388;別に;49.32;べつに;Separately;[94];5;;vocab
1389;魅力;49.25;みりょく;charm;[2179, 922];55;;vocab
1390;人口;49.23;じんこう;population;[1023, 11];27;;vocab
1391;反応;49.2;はんのう;reaction;[779, 653];23;;vocab
1392;きちんと;49.2;きちんと;neatly;[];0;3;vocab
1393;まだまだ;49.16;まだまだ;Not yet;[];0;3;vocab
1394;そういった;49.08;そういった;Such;[];0;3;vocab
1395;手段;49.08;しゅだん;means;[687, 2003];50;;vocab
1396;有効;49.07;ゆうこう;validity;[83, 1369];34;;vocab
1397;タイ;49.02;タイ;Thailand;[];0;3;loanword
1398;工場;49.0;こうじょう;factory;[80, 584];21;;vocab
1399;入力;49.0;にゅうりょく;input;[842, 922];25;;vocab
1400;ビデオ;48.98;ビデオ;video;[];0;3;loanword
1401;注文;48.98;ちゅうもん;order;[285, 1861];45;;vocab
1402;集中;48.97;しゅうちゅう;concentration;[601, 39];21;;vocab
1403;あまりに;48.93;あまりに;Too much;[];0;3;vocab
1404;さま;48.9;さま;looks;[];0;3;vocab
1405;一度;48.85;いちど;one time;[1, 1278];32;;vocab
1406;脳;48.75;のう;brain;[2084];53;;vocab
1407;北;48.73;きた;north;[480];18;;vocab
1408;現象;48.67;げんしょう;phenomenon;[275, 2130];53;;vocab
1409;ビル;48.65;ビル;building;[];0;3;loanword
1410;団;48.6;だん;Group;[625];22;;vocab
1411;感動;48.59;かんどう;being deeply moved emotionally;[662, 1806];43;;vocab
1412;ソ;48.48;ソ;S;[];0;;morpheme
1413;おいしい;48.39;おいしい;delicious;[];0;3;vocab
1414;禁止;48.37;きんし;prohibition;[1179, 396];30;;vocab
1415;サポート;48.37;サポート;support;[];0;3;loanword
1416;ずつ;48.36;ずつ;Adverbial/Focus particle;[];0;3;vocab
1417;実践;48.2;じっせん;practice;[1694, 1380];40;;vocab
1418;おそらく;48.06;おそらく;probably;[];0;2;vocab
1419;小泉;48.05;こいずみ;Koizumi;[110, 140];8;;vocab
1420;職員;48.02;しょくいん;staff member;[887, 59];25;;vocab
1421;理事;48.01;りじ;director;[283, 1240];31;;vocab
1422;会員;47.99;かいいん;member;[814, 59];23;;vocab
1423;案内;47.94;あんない;information;[227, 1095];27;;vocab
1424;過ごす;47.93;すごす;spend;[1389];34;;vocab
1425;薬;47.92;くすり;medicine;[1873];45;;vocab
1426;シーン;47.92;シーン;scene;[];0;3;loanword
1427;従来;47.89;じゅうらい;up to now;[942, 2029];51;;vocab
1428;農業;47.79;のうぎょう;agriculture;[2170, 1931];55;;vocab
1429;用意;47.75;ようい;preparation;[1265, 654];31;;vocab
1430;運用;47.73;うんよう;making use of;[325, 1265];31;;vocab
1431;世代;47.71;せだい;generation;[28, 1080];27;;vocab
1432;そうした;47.69;そうした;That;[];0;3;vocab
1433;歌う;47.68;うたう;sing;[508];18;;vocab
1434;強化;47.68;きょうか;strengthen;[1321, 1083];33;;vocab
1435;納得;47.68;なっとく;consent;[1456, 941];36;;vocab
1436;周り;47.66;まわり;surroundings;[339];14;;vocab
1437;収入;47.64;しゅうにゅう;income;[1628, 842];39;;vocab
1438;増加;47.62;ぞうか;increase;[541, 932];25;;vocab
1439;レポート;47.61;レポート;Report;[];0;3;loanword
1440;年齢;47.61;ねんれい;age;[1114, 1505];37;;vocab
1441;裏;47.58;うら;back;[426];18;;vocab
1442;未来;47.57;みらい;the future;[229, 2029];51;;vocab
1443;社員;47.54;しゃいん;company employee;[1173, 59];30;;vocab
1444;食;47.51;しょく;Food;[1582];38;;vocab
1445;教会;47.45;きょうかい;church;[1343, 814];34;;vocab
1446;舞台;47.45;ぶたい;stage;[1912, 805];46;;vocab
1447;前回;47.42;ぜんかい;previous time;[309, 630];22;;vocab
1448;年金;47.39;ねんきん;annuity;[1114, 287];28;;vocab
1449;もう少し;47.37;もうすこし;A little more;[111];7;;vocab
1450;交通;47.3;こうつう;traffic;[1368, 1511];37;;vocab
1451;総;47.3;そう;Total;[1466];36;;vocab
1452;料金;47.3;りょうきん;fee;[1262, 287];31;;vocab
1453;教師;47.3;きょうし;teacher;[1343, 1361];34;;vocab
1454;重い;47.28;おもい;heavy;[1805];43;;vocab
1455;どうして;47.12;どうして;Why;[];0;1;vocab
1456;著;47.09;しる;Author;[1347];34;;vocab
1457;森;47.06;もり;forest;[209];10;;vocab
1458;他人;46.99;たにん;another person;[1034, 1023];27;;vocab
1459;組;46.9;くみ;set;[1914];47;;vocab
1460;株式;46.86;かぶしき;stock;[236, 377];16;;vocab
1461;上昇;46.83;じょうしょう;rising;[50, 43];3;;vocab
1462;否定;46.73;ひてい;negation;[1303, 408];32;;vocab
1463;機械;46.63;きかい;machine;[1482, 732];36;;vocab
1464;完成;46.6;かんせい;complete;[199, 386];16;;vocab
1465;大好き;46.57;だいすき;really like;[112, 103];7;;vocab
1466;ねぇ;46.53;ねぇ;Hey;[];0;3;vocab
1467;扱う;46.53;あつかう;handle;[745];23;;vocab
1468;修正;46.51;しゅうせい;amendment;[1858, 405];45;;vocab
1469;くん;46.48;くん;Kun;[];0;3;vocab
1470;電車;46.45;でんしゃ;train;[574, 304];21;;vocab
1471;一応;46.4;いちおう;Just in case;[1, 653];22;;vocab
1472;向上;46.39;こうじょう;elevation;[195, 50];9;;vocab
1473;負ける;46.35;まける;lose;[67];4;;vocab
1474;生じる;46.32;しょうじる;arise;[1675];40;;vocab
1475;週;46.28;しゅう;week;[340];14;;vocab
1476;野球;46.28;やきゅう;baseball;[1722, 1005];41;;vocab
1477;姿勢;46.24;しせい;attitude;[513, 1633];39;;vocab
1478;スペイン;46.21;スペイン;Spain;[];0;3;loanword
1479;遊ぶ;46.09;あそぶ;play;[1126];29;;vocab
1480;訪問;46.09;ほうもん;call;[534, 1744];42;;vocab
1481;引用;46.07;いんよう;quotation;[1318, 1265];33;;vocab
1482;インド;46.0;インド;India;[];0;3;loanword
1483;並ぶ;45.97;ならぶ;line up;[1924];47;;vocab
1484;視点;45.96;してん;opinion;[1174, 181];30;;vocab
1485;小学校;45.94;しょうがっこう;primary school;[110, 346, 1371];34;;vocab
1486;電気;45.87;でんき;electricity;[574, 2030];51;;vocab
1487;ノ;45.86;ノ;of;[];0;;morpheme
1488;パ;45.86;パ;Pa;[];0;;morpheme
1489;効率;45.83;こうりつ;efficiency;[1369, 1874];45;;vocab
1490;間違う;45.8;まちがう;Wrong;[1747, 1773];42;;vocab
1491;芸術;45.79;げいじゅつ;art;[450, 1644];39;;vocab
1492;挙げる;45.66;あげる;list;[2088];53;;vocab
1493;会話;45.64;かいわ;conversation;[814, 368];23;;vocab
1494;ドラマ;45.61;ドラマ;Drama;[];0;3;loanword
1495;再び;45.59;ふたたび;again;[1956];48;;vocab
1496;春;45.57;はる;spring;[1690];40;;vocab
1497;解釈;45.46;かいしゃく;explanation;[1955, 2057];52;;vocab
1498;ゆく;45.4;ゆく;Go;[];0;3;vocab
1499;猫;45.39;ねこ;cat;[259];11;;vocab
1500;資産;45.37;しさん;property;[512, 1681];40;;vocab
1501;行;45.34;くだり;line;[938];25;;vocab
1502;結論;45.29;けつろん;conclusion;[1451, 1961];48;;vocab
1503;大丈夫;45.24;だいじょうぶ;Are you okay;[112, 746, 901];25;;vocab
1504;止める;45.24;とめる;stop;[396];17;;vocab
1505;取り組む;45.19;とりくむ;work on;[882, 1914];47;;vocab
1506;かつて;45.17;かつて;Once upon a time;[];0;3;vocab
1507;怖い;45.15;こわい;scared;[670];22;;vocab
1508;半;45.1;はん;half;[1286];32;;vocab
1509;界;45.1;さかい;world;[266];12;;vocab
1510;製造;45.08;せいぞう;manufacture;[448, 299];18;;vocab
1511;困難;45.03;こんなん;difficulty;[621, 1703];40;;vocab
1512;回復;44.98;かいふく;restoration;[630, 940];25;;vocab
1513;美味しい;44.95;おいしい;delicious;[587, 233];21;;vocab
1514;適用;44.93;てきよう;applying;[473, 1265];31;;vocab
1515;母親;44.92;ははおや;mother;[105, 1621];39;;vocab
1516;取材;44.9;しゅざい;news coverage;[882, 738];25;;vocab
1517;やっと;44.87;やっと;at last;[];0;2;vocab
1518;保障;44.83;ほしょう;guarantee;[1072, 1393];35;;vocab
1519;集団;44.83;しゅうだん;group;[601, 625];22;;vocab
1520;ルール;44.81;ルール;rule;[];0;3;loanword
1521;卒業;44.81;そつぎょう;graduation;[1102, 1931];47;;vocab
1522;事態;44.77;じたい;situation;[1240, 2161];54;;vocab
1523;立てる;44.7;たてる;stand up;[462];18;;vocab
1524;雪;44.68;ゆき;snow;[1225];31;;vocab
1525;画面;44.68;がめん;terminal screen;[1254, 2039];51;;vocab
1526;おかしい;44.63;おかしい;strange;[];0;3;vocab
1527;資格;44.58;しかく;qualifications;[512, 312];18;;vocab
1528;時点;44.55;じてん;point in time;[171, 181];8;;vocab
1529;病気;44.54;びょうき;illness;[1813, 2030];51;;vocab
1530;なれる;44.53;なれる;become;[];0;3;vocab
1531;スタート;44.53;スタート;start;[];0;3;loanword
1532;更に;44.5;さらに;Furthermore;[749];23;;vocab
1533;活躍;44.49;かつやく;activity;[154, 1379];34;;vocab
1534;ですから;44.41;ですから;So;[];0;3;vocab
1535;馬;44.38;うま;horse;[2132];54;;vocab
1536;冊;44.32;さつ;Volume;[1967];48;;vocab
1537;問う;44.28;とう;Ask;[1744];42;;vocab
1538;ちょうど;44.25;ちょうど;just;[];0;2;vocab
1539;命;44.25;いのち;life;[1502];37;;vocab
1540;殺す;44.23;ころす;kill;[1607];39;;vocab
1541;サイズ;44.21;サイズ;size;[];0;3;loanword
1542;ころ;44.2;ころ;around;[];0;3;vocab
1543;限定;44.19;げんてい;limit;[1576, 408];38;;vocab
1544;ひとり;44.12;ひとり;alone;[];0;3;vocab
1545;医師;44.12;いし;doctor;[1829, 1361];44;;vocab
1546;工事;43.98;こうじ;construction work;[80, 1240];31;;vocab
1547;居る;43.94;おる;be there;[1143];29;;vocab
1548;無;43.92;む;Nothing;[1913];46;;vocab
1549;現れる;43.87;あらわれる;appear;[275];12;;vocab
1550;正直;43.85;しょうじき;honesty;[405, 77];17;;vocab
1551;原則;43.84;げんそく;principle;[142, 92];8;;vocab
1552;自動車;43.83;じどうしゃ;car;[36, 1806, 304];43;;vocab
1553;づくり;43.78;づくり;Making;[];0;3;vocab
1554;では;43.77;では;So;[];0;3;vocab
1555;部門;43.77;ぶもん;division;[1988, 1743];49;;vocab
1556;女の子;43.75;おんなのこ;girl;[102, 99];6;;vocab
1557;出演;43.75;しゅつえん;performance;[829, 2163];55;;vocab
1558;民族;43.73;みんぞく;people;[1976, 1307];49;;vocab
1559;充実;43.73;じゅうじつ;fullness;[823, 1694];40;;vocab
1560;伴う;43.67;ともなう;Accompany;[1287];32;;vocab
1561;講演;43.65;こうえん;lecture;[1957, 2163];55;;vocab
1562;したがって;43.64;したがって;therefore;[];0;3;vocab
1563;瞬間;43.61;しゅんかん;moment;[880, 1747];42;;vocab
1564;がる;43.6;がる;Garu;[];0;3;vocab
1565;交流;43.6;こうりゅう;exchange;[1368, 826];34;;vocab
1566;大量;43.56;たいりょう;large quantity;[112, 189];9;;vocab
1567;回る;43.54;まわる;Rotate;[630];22;;vocab
1568;久しぶり;43.53;ひさしぶり;long time no see;[1092];27;;vocab
1569;革命;43.51;かくめい;revolution;[2041, 1502];51;;vocab
1570;成果;43.5;せいか;fruits;[386, 1202];30;;vocab
1571;じ;43.47;じ;character;[];0;;morpheme
1572;コミュニケーション;43.44;コミュニケーション;communication;[];0;3;loanword
1573;任;43.41;にん;duty;[1078];27;;vocab
1574;標準;43.41;ひょうじゅん;standard;[1734, 606];41;;vocab
1575;ひる;43.39;ひる;Lunch;[];0;3;vocab
1576;まるで;43.36;まるで;Just like;[];0;2;vocab
1577;輸入;43.32;ゆにゅう;importation;[307, 842];24;;vocab
1578;やつ;43.31;やつ;That guy;[];0;3;vocab
1579;背景;43.22;はいけい;background;[481, 336];18;;vocab
1580;政権;43.22;せいけん;administration;[407, 613];21;;vocab
1581;スタイル;43.19;スタイル;style;[];0;3;loanword
1582;喜ぶ;43.19;よろこぶ;be happy;[1553];38;;vocab
1583;星;43.18;ほし;star;[1676];40;;vocab
1584;協議;43.17;きょうぎ;conference;[937, 692];25;;vocab
1585;っていう;43.16;っていう;That is;[];0;3;vocab
1586;関心;43.16;かんしん;concern;[2173, 639];55;;vocab
1587;勝手;43.16;かって;one's own convenience;[1294, 687];32;;vocab
1588;一覧;43.09;いちらん;look;[1, 919];25;;vocab
1589;副;43.09;ふく;Deputy;[93];5;;vocab
1590;取り上げる;43.02;とりあげる;take up;[882, 50];25;;vocab
1591;伝統;43.0;でんとう;tradition;[1036, 1447];36;;vocab
1592;横;42.99;よこ;beside;[1888];45;;vocab
1593;聞こえる;42.92;きこえる;hear;[1754];42;;vocab
1594;民主;42.84;みんしゅ;democracy;[1976, 284];49;;vocab
1595;制限;42.81;せいげん;restriction;[447, 1576];38;;vocab
1596;投票;42.79;とうひょう;voting;[762, 1732];41;;vocab
1597;どうぞ;42.79;どうぞ;please;[];0;3;vocab
1598;値段;42.77;ねだん;price;[1052, 2003];50;;vocab
1599;沖縄;42.61;おきなわ;Okinawa;[146, 1477];36;;vocab
1600;図る;42.6;はかる;plot;[1264];31;;vocab
1601;川;42.59;かわ;river;[134];8;;vocab
1602;軽い;42.59;かるい;light;[774];23;;vocab
1603;若者;42.52;わかもの;young man;[237, 1345];34;;vocab
1604;心理;42.51;しんり;state of mind;[639, 283];22;;vocab
1605;大体;42.49;だいたい;general;[112, 1030];27;;vocab
1606;里;42.46;さと;Sato;[185];9;;vocab
1607;掲示板;42.45;けいじばん;bulletin board;[726, 1167, 781];30;;vocab
1608;番号;42.41;ばんごう;number;[2058, 1330];52;;vocab
1609;トン;42.4;トン;ton;[];0;3;loanword
1610;前提;42.4;ぜんてい;preamble;[309, 718];23;;vocab
1611;館;42.36;たて;Hall;[1589];38;;vocab
1612;船;42.32;ふね;boat;[2019];50;;vocab
1613;ある程度;42.28;あるていど;To some extent;[960, 1278];32;;vocab
1614;突然;42.28;とつぜん;suddenly;[1416, 256];35;;vocab
1615;なんだか;42.24;なんだか;Somehow;[];0;3;vocab
1616;半分;42.23;はんぶん;half;[1286, 844];32;;vocab
1617;思想;42.22;しそう;thought;[651, 656];22;;vocab
1618;オープン;42.15;オープン;open;[];0;3;loanword
1619;請求;42.09;せいきゅう;claim;[1656, 1004];40;;vocab
1620;正確;42.03;せいかく;accurate;[405, 609];21;;vocab
1621;教室;42.03;きょうしつ;classroom;[1343, 816];34;;vocab
1622;周辺;42.01;しゅうへん;circumference;[339, 302];14;;vocab
1623;セミナー;42.01;セミナー;Seminar;[];0;3;loanword
1624;リスト;41.98;リスト;list;[];0;3;loanword
1625;応じる;41.9;おうじる;respond;[653];22;;vocab
1626;不足;41.89;ふそく;insufficiency;[1302, 1372];34;;vocab
1627;実;41.87;み;fruit;[1694];40;;vocab
1628;寒い;41.86;さむい;cold;[1645];39;;vocab
1629;デ;41.86;デ;De;[];0;;morpheme
1630;法案;41.85;ほうあん;bill;[813, 227];23;;vocab
1631;東;41.83;ひがし;east;[543];19;;vocab
1632;ボール;41.77;ボール;ball;[];0;3;loanword
1633;すなわち;41.76;すなわち;That is,;[];0;3;vocab
1634;コード;41.75;コード;code;[];0;3;loanword
1635;王;41.73;おう;king;[271];12;;vocab
1636;捨てる;41.73;すてる;dispose of;[707];23;;vocab
1637;世の中;41.65;よのなか;world;[28, 39];3;;vocab
1638;みなさん;41.64;みなさん;everyone;[];0;3;vocab
1639;取得;41.61;しゅとく;acquisition;[882, 941];25;;vocab
1640;項目;41.6;こうもく;item;[86, 15];5;;vocab
1641;そんなに;41.58;そんなに;so;[];0;3;vocab
1642;旧;41.58;きゅう;Old;[35];3;;vocab
1643;性格;41.58;せいかく;character;[1679, 312];40;;vocab
1644;次第;41.56;しだい;dependent upon;[510, 1327];33;;vocab
1645;顧客;41.54;こきゃく;customer;[1165, 315];29;;vocab
1646;着る;41.49;きる;wear;[594];21;;vocab
1647;いかに;41.49;いかに;How;[];0;3;vocab
1648;減る;41.45;へる;decrease;[391];16;;vocab
1649;避ける;41.43;さける;avoid;[1618];39;;vocab
1650;多分;41.43;たぶん;perhaps;[113, 844];24;;vocab
1651;地区;41.42;ちく;district;[554, 1831];44;;vocab
1652;を通じて;41.41;をつうじて;through;[1511];37;;vocab
1653;長期;41.38;ちょうき;long time period;[2070, 1902];52;;vocab
1654;遠い;41.37;とおい;far;[429];18;;vocab
1655;がんばる;41.31;がんばる;Do your best;[];0;3;vocab
1656;ミ;41.3;ミ;M;[];0;;morpheme
1657;達成;41.29;たっせい;achievement;[591, 386];21;;vocab
1658;著者;41.26;ちょしゃ;author;[1347, 1345];34;;vocab
1659;弱い;41.25;よわい;weak;[1323];33;;vocab
1660;ソフトウェア;41.23;ソフトウェア;software;[];0;3;loanword
1661;におきまして;41.18;におきまして;Regarding;[];0;3;vocab
1662;展示;41.16;てんじ;exhibition;[2075, 1167];52;;vocab
1663;誌;41.15;し;magazine;[646];22;;vocab
1664;答え;41.14;こたえ;answer;[1018];26;;vocab
1665;訪れる;41.11;おとずれる;visit;[534];19;;vocab
1666;忙しい;41.05;いそがしい;busy;[665];22;;vocab
1667;後半;40.96;こうはん;second half;[1479, 1286];36;;vocab
1668;福祉;40.92;ふくし;welfare;[1171, 1172];30;;vocab
1669;到着;40.87;とうちゃく;arrival;[817, 594];23;;vocab
1670;ナ;40.87;ナ;Na;[];0;;morpheme
1671;罪;40.85;つみ;sin;[1764];42;;vocab
1672;楽;40.83;らく;easy;[1872];45;;vocab
1673;操作;40.81;そうさ;operation;[724, 1224];31;;vocab
1674;便利;40.76;べんり;convenient;[1066, 972];27;;vocab
1675;支配;40.73;しはい;rule;[768, 1544];38;;vocab
1676;南;40.73;みなみ;south;[1740];41;;vocab
1677;何とか;40.72;なんとか;somehow;[1087];27;;vocab
1678;講座;40.69;こうざ;academic teaching unit;[1957, 1100];48;;vocab
1679;現地;40.69;げんち;actual place;[275, 554];21;;vocab
1680;態度;40.65;たいど;attitude;[2161, 1278];54;;vocab
1681;審査;40.6;しんさ;judging;[2059, 1920];52;;vocab
1682;公園;40.57;こうえん;park;[847, 629];24;;vocab
1683;過程;40.55;かてい;process;[1389, 960];34;;vocab
1684;研修;40.53;けんしゅう;training;[729, 1858];45;;vocab
1685;長官;40.51;ちょうかん;secretary;[2070, 1363];52;;vocab
1686;バランス;40.5;バランス;balance;[];0;3;loanword
1687;変;40.5;へん;strange;[1882];45;;vocab
1688;なー;40.49;なー;Right;[];0;3;vocab
1689;連続;40.44;れんぞく;serial;[305, 1445];36;;vocab
1690;望む;40.44;のぞむ;wish;[528];19;;vocab
1691;空気;40.41;くうき;air;[1414, 2030];51;;vocab
1692;翻訳;40.4;ほんやく;translation;[2060, 1154];52;;vocab
1693;冬;40.37;ふゆ;winter;[456];18;;vocab
1694;広がる;40.35;ひろがる;spread;[799];23;;vocab
1695;単純;40.32;たんじゅん;simplicity;[2078, 1609];53;;vocab
1696;短い;40.28;みじかい;short;[1550];38;;vocab
1697;飛ぶ;40.23;とぶ;jump;[2032];51;;vocab
1698;予約;40.23;よやく;reservation;[1719, 1462];41;;vocab
1699;構築;40.18;こうちく;construction;[1959, 1021];48;;vocab
1700;党;40.17;とう;party;[860];25;;vocab
1701;座る;40.16;すわる;sit;[1100];27;;vocab
1702;論文;40.16;ろんぶん;thesis;[1961, 1861];48;;vocab
1703;地震;40.15;じしん;earthquake;[554, 2166];55;;vocab
1704;不;40.15;ふ;No;[1302];32;;vocab
1705;パン;40.09;パン;bread;[];0;3;loanword
1706;記;40.07;き;Note;[568];21;;vocab
1707;継続;40.03;けいぞく;continuation;[1470, 1445];36;;vocab
1708;一言;40.03;ひとこと;single word;[1, 357];15;;vocab
1709;出会う;39.99;であう;encounter;[829, 814];24;;vocab
1710;内部;39.97;ないぶ;interior;[1095, 1988];49;;vocab
1711;豊か;39.96;ゆたか;rich;[1551];38;;vocab
1712;生命;39.95;せいめい;life;[1675, 1502];40;;vocab
1713;所得;39.93;しょとく;income;[1208, 941];31;;vocab
1714;制作;39.9;せいさく;work;[447, 1224];31;;vocab
1715;敵;39.85;てき;enemy;[475];18;;vocab
1716;単位;39.83;たんい;unit;[2078, 1028];53;;vocab
1717;自信;39.83;じしん;self-confidence;[36, 1043];27;;vocab
1718;涙;39.8;なみだ;tears;[1163];29;;vocab
1719;まずは;39.74;まずは;First;[];0;3;vocab
1720;科;39.72;か;department;[1263];31;;vocab
1721;ゆっくり;39.7;ゆっくり;slowly;[];0;2;vocab
1722;あらゆる;39.7;あらゆる;All;[];0;3;vocab
1723;ベース;39.67;ベース;base;[];0;3;loanword
1724;層;39.66;そう;layer;[1146];29;;vocab
1725;毎年;39.57;まいとし;every year;[497, 1114];28;;vocab
1726;距離;39.55;きょり;distance;[1375, 1605];39;;vocab
1727;複数;39.55;ふくすう;several;[504, 998];26;;vocab
1728;恋愛;39.52;れんあい;love;[1885, 796];45;;vocab
1729;め;39.5;め;eye;[];0;3;vocab
1730;英;39.49;えい;English;[1878];45;;vocab
1731;運転;39.48;うんてん;operation;[325, 449];18;;vocab
1732;消える;39.47;きえる;disappear;[155];8;;vocab
1733;確実;39.45;かくじつ;certainty;[609, 1694];40;;vocab
1734;支持;39.45;しじ;support;[768, 712];23;;vocab
1735;インタビュー;39.45;インタビュー;Interview;[];0;3;loanword
1736;ふる;39.44;ふる;Furu;[];0;3;vocab
1737;日間;39.42;にちかん;days;[12, 1747];42;;vocab
1738;一定;39.41;いってい;fixed;[1, 408];17;;vocab
1739;交渉;39.36;こうしょう;negotiations;[1368, 398];34;;vocab
1740;司法;39.35;しほう;administration of justice;[2007, 813];50;;vocab
1741;巻;39.31;まき;Volume;[1292];32;;vocab
1742;なんとか;39.27;なんとか;Somehow;[];0;2;vocab
1743;借りる;39.22;かりる;borrow;[1270];32;;vocab
1744;押す;39.17;おす;push;[1195];30;;vocab
1745;方式;39.16;ほうしき;form;[529, 377];19;;vocab
1746;普段;39.16;ふだん;usual;[1925, 2003];50;;vocab
1747;出席;39.14;しゅっせき;attendance;[829, 1277];32;;vocab
1748;金利;39.09;きんり;interest rates;[287, 972];26;;vocab
1749;アニメ;39.08;アニメ;anime;[];0;3;loanword
1750;ところで;39.08;ところで;by the way;[];0;2;vocab
1751;窓;39.07;まど;window;[811];23;;vocab
1752;諸;39.05;しょ;various;[1351];34;;vocab
1753;なくなる;39.01;なくなる;disappear;[];0;3;vocab
1754;危機;38.98;きき;crisis;[1520, 1482];37;;vocab
1755;やってくる;38.98;やってくる;coming;[];0;3;vocab
1756;痛い;38.97;いたい;it hurts;[1825];44;;vocab
1757;低;38.97;ひく;low;[1973];49;;vocab
1758;次に;38.9;つぎに;next;[510];18;;vocab
1759;募集;38.89;ぼしゅう;recruiting;[925, 601];25;;vocab
1760;定める;38.86;さだめる;stipulate;[408];17;;vocab
1761;史;38.85;ふみ;History;[747];23;;vocab
1762;自宅;38.72;じたく;one's home;[36, 2065];52;;vocab
1763;上記;38.72;じょうき;above-mentioned;[50, 568];21;;vocab
1764;人権;38.71;じんけん;human rights;[1023, 613];27;;vocab
1765;複雑;38.7;ふくざつ;complex;[504, 604];21;;vocab
1766;おかげ;38.59;おかげ;Causal particle;[];0;3;vocab
1767;スーパー;38.58;スーパー;supermarket;[];0;3;loanword
1768;逮捕;38.58;たいほ;arrest;[1244, 1978];49;;vocab
1769;器;38.56;うつわ;vessel;[127];7;;vocab
1770;級;38.44;きゅう;grade;[1453];36;;vocab
1771;証明;38.37;しょうめい;proof;[406, 20];17;;vocab
1772;概念;38.36;がいねん;general idea;[1594, 1715];41;;vocab
1773;ツール;38.35;ツール;tool;[];0;3;loanword
1774;果たす;38.35;はたす;Fulfill;[1202];30;;vocab
1775;コンテンツ;38.34;コンテンツ;content;[];0;3;loanword
1776;泣く;38.31;なく;cry;[463];18;;vocab
